index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,26.714155219178085
1,Abilene,32.4487364,-99.73314390000002,17.443226783561645
2,Abu Dhabi,24.453884,54.3773438,27.04337898630137
3,Addis Ababa,8.9806034,38.7577605,15.601674273972602
4,Akron Canton,40.9153779,-81.4418833,9.60669709863014
5,Albany,42.6525793,-73.7562317,9.314459684931508
6,Albuquerque,35.0843859,-106.650422,15.004413956164383
7,Algiers,36.753768,3.0587561,17.50837137260274
8,Allentown,40.6022939,-75.4714098,11.276712312328767
9,Almaty,43.2220146,76.8512485,9.228310490410959
10,Amarillo,35.2219971,-101.8312969,13.62039571780822
11,Amman,31.9539494,35.910635,17.38325724383562
12,Amsterdam,52.3666969,4.8945398,10.496042605479452
13,Anchorage,61.2180556,-149.9002778,3.075494673972603
14,Ankara,39.9333635,32.8597419,10.070015208219179
15,Antananarivo,-18.8791902,47.5079055,18.01369862191781
16,Ashabad,37.9600766,58.32606289999999,17.483866057534243
17,Asheville,35.5950581,-82.5514869,12.792389602739727
18,Athens,37.9838096,23.7275388,18.30365300547945
19,Atlanta,33.7489954,-84.3879824,17.02663619452055
20,Atlantic City,39.3642834,-74.4229266,11.957229852054796
21,Auckland,-36.8484597,174.7633315,15.13850837260274
22,Austin,30.267153,-97.7430608,20.157229841095887
23,Baltimore,39.2903848,-76.6121893,13.849467273972602
25,Bangui,4.3946735,18.5581899,3.3499238630136983
26,Banjul,13.4548761,-16.5790323,20.404566197260277
27,Barcelona,41.3850639,2.1734035,16.677321156164382
28,Baton Rouge,30.4514677,-91.18714659999999,19.76818877260274
29,Beijing,39.90419989999999,116.4073963,13.330745819178082
30,Beirut,33.8937913,35.5017767,20.637899536986303
31,Belfast,54.59728500000001,-5.93012,11.708066980821918
32,Belgrade,44.786568,20.4489216,11.696651432876711
34,Bern,46.9479739,7.4474468,9.774581432876712
35,Bilbao,43.2630126,-2.9349852,14.969710821917811
36,Billings,45.7832856,-108.5006904,8.415829536986301
37,Birmingham,33.5185892,-86.8103567,16.64200912328767
38,Bismarck,46.8083268,-100.7837392,5.337290728767124
40,Bogota,4.710988599999999,-74.072092,12.757229810958904
41,Boise,43.6150186,-116.2023137,11.284779290410958
42,Bombay (Mumbai),19.0759837,72.8776559,26.978995435616437
44,Bordeaux,44.837789,-0.57918,14.094520528767122
45,Boston,42.3600825,-71.0588801,10.73348555890411
46,Brasilia,-15.826691,-47.92182039999999,21.754946717808217
47,Bratislava,48.1485965,17.1077478,10.355251139726027
48,Brazzaville,-4.2633597,15.2428853,20.85738203287671
49,Bridgeport,41.1792258,-73.1894384,11.809741230136988
50,Bridgetown,45.5051064,-122.6750261,27.092694049315064
51,Brisbane,-27.4697707,153.0251235,19.909893452054796
52,Brownsville,25.9017472,-97.4974838,23.02435312876712
53,Brussels,50.8503396,4.3517103,10.945053254794521
54,Bucharest,44.4267674,26.1025384,10.560121791780821
55,Budapest,47.497912,19.040235,10.151598189041096
56,Buenos Aires,-34.6036844,-58.3815591,16.50076103013699
57,Buffalo,42.88644679999999,-78.8783689,9.039726054794519
58,Bujumbura,-3.361378,29.3598782,5.392541821917808
59,Burlington,36.0624198,-95.88890219999999,8.44657533150685
60,Cairo,30.0444196,31.2357116,21.539726030136986
61,Calcutta,22.572646,88.36389500000001,25.464079123287668
62,Calgary,51.04473309999999,-114.0718831,3.444292260273973
63,Canberra,-35.2809368,149.1300092,12.992694065753428
64,Capetown,-33.9248685,18.4240553,16.299391178082193
65,Caracas,10.4805937,-66.90360629999999,25.822070054794523
66,Caribou,36.1910923,-95.88973539999999,5.575799087671233
67,Casper,39.04117859999999,-94.5911521,7.742770156164386
68,Charleston,32.7764749,-79.93105120000001,15.927080088597135
69,Charlotte,35.2270869,-80.8431267,15.627092852054794
70,Chattanooga,35.0456297,-85.3096801,15.470015205479452
71,Chengdu,30.572815,104.066801,16.646879756164385
72,Chennai (Madras),13.0826802,80.2707184,27.57260276164384
73,Cheyenne,41.1399814,-104.8202462,7.825266372602739
74,Chicago,41.8781136,-87.6297982,10.089649901369862
75,Cincinnati,39.1031182,-84.5120196,11.924353139726028
76,Cleveland,41.49932,-81.6943605,10.612328756164384
77,Colombo,6.9270786,79.861243,25.21567730410959
78,Colorado Springs,38.8338816,-104.8213634,8.911415539726027
