index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,25.643531169863014
1,Abilene,32.4487364,-99.73314390000002,17.74292235616438
2,Abu Dhabi,24.453884,54.3773438,27.817351583561646
4,Akron Canton,40.9153779,-81.4418833,9.541856915068493
5,Albany,42.6525793,-73.7562317,8.675190279452055
6,Albuquerque,35.0843859,-106.650422,14.211872123287673
7,Algiers,36.753768,3.0587561,17.922070016438358
8,Allentown,40.6022939,-75.4714098,10.47123287671233
9,Almaty,43.2220146,76.8512485,9.258599679452056
10,Amarillo,35.2219971,-101.8312969,13.46118721369863
11,Amman,31.9539494,35.910635,18.10776255068493
12,Amsterdam,52.3666969,4.8945398,10.498477909589042
13,Anchorage,61.2180556,-149.9002778,2.423592076712329
14,Ankara,39.9333635,32.8597419,10.74687977260274
15,Antananarivo,-18.8791902,47.5079055,18.569406389041095
16,Ashabad,37.9600766,58.32606289999999,17.160578369863014
17,Asheville,35.5950581,-82.5514869,12.375951276712328
18,Athens,37.9838096,23.7275388,18.24703198630137
19,Atlanta,33.7489954,-84.3879824,16.24292237260274
20,Atlantic City,39.3642834,-74.4229266,12.50669711780822
21,Auckland,-36.8484597,174.7633315,14.683561676712328
22,Austin,30.267153,-97.7430608,19.98280061369863
23,Baltimore,39.2903848,-76.6121893,12.548706219178081
24,Bangkok,13.7563309,100.5017651,28.170776238356165
25,Bangui,4.3946735,18.5581899,21.333485528767124
26,Barcelona,41.3850639,2.1734035,16.4178082
27,Baton Rouge,30.4514677,-91.18714659999999,19.938660575342464
28,Beijing,39.90419989999999,116.4073963,12.368493139726029
29,Beirut,33.8937913,35.5017767,21.261796043835616
30,Belfast,54.59728500000001,-5.93012,9.1659056
31,Belgrade,44.786568,20.4489216,12.82359209589041
32,Belize City,17.5045661,-88.1962133,25.901826487671237
33,Bern,46.9479739,7.4474468,10.480213082191781
34,Bilbao,43.2630126,-2.9349852,14.628614931506847
35,Billings,45.7832856,-108.5006904,8.221004553424658
36,Birmingham,33.5185892,-86.8103567,16.85418568219178
37,Bishkek,42.8746212,74.5697617,11.475342468493151
38,Bismarck,46.8083268,-100.7837392,4.7158295315068495
39,Bissau,11.8632196,-15.5843227,24.238508353424653
40,Bogota,4.710988599999999,-74.072092,13.373972591780824
41,Boise,43.6150186,-116.2023137,11.21263318630137
42,Bombay (Mumbai),19.0759837,72.8776559,28.056773213698634
43,Bordeaux,44.837789,-0.57918,13.648706252054795
44,Boston,42.3600825,-71.0588801,10.179147635616438
45,Brasilia,-15.826691,-47.92182039999999,21.66560123013699
46,Bratislava,48.1485965,17.1077478,11.007305920547946
47,Brazzaville,-4.2633597,15.2428853,25.237899561643832
48,Bridgeport,41.1792258,-73.1894384,10.372602734246575
49,Bridgetown,45.5051064,-122.6750261,27.016286153424662
50,Brisbane,-27.4697707,153.0251235,20.479147610958908
51,Brownsville,25.9017472,-97.4974838,23.11613394246575
52,Brussels,50.8503396,4.3517103,10.471993890410959
53,Bucharest,44.4267674,26.1025384,11.86438357260274
54,Budapest,47.497912,19.040235,11.157838671232875
55,Buenos Aires,-34.6036844,-58.3815591,16.9838660630137
56,Buffalo,42.88644679999999,-78.8783689,8.505022857534247
57,Burlington,36.0624198,-95.88890219999999,7.453120246575342
58,Cairo,30.0444196,31.2357116,23.137442906849312
59,Calcutta,22.572646,88.36389500000001,26.64094367945205
60,Calgary,51.04473309999999,-114.0718831,3.8680365150684928
61,Canberra,-35.2809368,149.1300092,14.01445963287671
62,Capetown,-33.9248685,18.4240553,17.110654493150687
63,Caracas,10.4805937,-66.90360629999999,27.960121778082193
64,Caribou,36.1910923,-95.88973539999999,4.14474885479452
65,Casper,39.04117859999999,-94.5911521,6.554642298630137
66,Charleston,32.7764749,-79.93105120000001,15.825639040924706
67,Charlotte,35.2270869,-80.8431267,15.559817358904109
68,Chattanooga,35.0456297,-85.3096801,15.640943660273972
69,Chengdu,30.572815,104.066801,17.560426189041095
70,Chennai (Madras),13.0826802,80.2707184,28.77047182465753
71,Cheyenne,41.1399814,-104.8202462,6.934703180821918
72,Chicago,41.8781136,-87.6297982,9.239573835616438
73,Cincinnati,39.1031182,-84.5120196,11.887366816438355
74,Cleveland,41.49932,-81.6943605,10.313394243835615
75,Colombo,6.9270786,79.861243,27.24794520821918
76,Colorado Springs,38.8338816,-104.8213634,8.63531204109589
77,Columbia,34.0007104,-81.0348144,17.33226786849315
78,Columbus,39.9611755,-82.99879419999999,11.974165727375398
79,Conakry,9.641185499999999,-13.5784012,25.354337887671235
80,Concord,37.9779776,-122.0310733,7.346270912328768
81,Copenhagen,55.6760968,12.5683372,8.3957382
82,Corpus Christi,27.8005828,-97.39638099999999,22.421613389041095
83,Cotonou,6.3702928,2.3912362,27.242465747945204
84,Dakar,14.716677,-17.4676861,23.987062410958906
85,Dallas Ft Worth,32.7766642,-96.79698789999999,18.757229832876714
86,Damascus,33.5138073,36.2765279,17.343835630136986
87,Dar Es Salaam,-6.792354,39.2083284,24.50091326575343
88,Dayton,39.7589478,-84.1916069,10.604566221917809
89,Daytona Beach,29.2108147,-81.0228331,21.535159830136987
90,Delhi,28.7040592,77.10249019999999,24.88691022191781
91,Denver,39.7392358,-104.990251,9.499391194520546
92,Des Moines,41.5868353,-93.6249593,10.062100501369864
93,Detroit,42.331427,-83.0457538,9.474277038356165
94,Dhahran,26.2361248,50.0393017,27.763318120547943
95,Dhaka,23.810332,90.4125181,3.363318084931507
96,Doha,25.2854473,51.53103979999999,28.196955852054796
97,Dubai,25.2048493,55.2707828,28.550989334246577
98,Dublin,53.3498053,-6.2603097,9.396499249315069
99,Duluth,46.78667189999999,-92.1004852,3.7952815671232876
100,Dusanbe,38.5597722,68.7870384,15.35129375342466
101,Edmonton,53.5461245,-113.4938229,3.3068493260273972
102,El Paso,31.7618778,-106.4850217,19.062861476712328
103,Elkins,36.0014682,-94.0082547,9.87153732328767
104,Erie,42.12922409999999,-80.085059,9.321613389041095
105,Eugene,44.0520691,-123.0867536,10.570167432876712
106,Evansville,37.9715592,-87.5710898,13.221156772602741
108,Fargo,46.8771863,-96.7898034,4.650076087671234
109,Flint,43.0125274,-83.6874562,8.083257224657535
110,Fort Smith,35.3859242,-94.39854749999999,15.821613413698628
111,Fort Wayne,41.079273,-85.1393513,9.743987810958906
112,Freetown,8.4656765,-13.2317225,13.249162824657533
113,Fresno,36.7377981,-119.7871247,17.96453575890411
114,Geneva,46.2043907,6.1431577,11.100000019178081
115,Goodland,29.673831,-95.5452176,9.53257229589041
116,Grand Junction,39.0638705,-108.5506486,11.039117216438356
117,Grand Rapids,42.9633599,-85.6680863,8.84109593150685
118,Great Falls,38.9987208,-77.2538699,6.490563180821918
119,Green Bay,44.5133188,-88.0132958,6.428919320547944
120,Greensboro,36.0726354,-79.7919754,14.70167428493151
121,Guangzhou,23.12911,113.264385,23.145509887671235
122,Guatemala City,14.6349149,-90.5068824,18.519025868493152
123,Guayaquil,-2.1894128,-79.8890662,25.533333328767124
124,Halifax,44.6475811,-63.5727683,5.7467275397260265
126,Hamilton,37.9426096,-96.19513200000002,22.004414016438357
127,Hanoi,21.0277644,105.8341598,24.376864526027397
128,Harrisburg,40.2731911,-76.8867008,11.45418567671233
129,Hartford Springfield,41.9413995,-72.6996932,9.72861489041096
130,Havana,23.1135925,-82.3665956,23.398477928767125
131,Helena,46.5891452,-112.0391057,6.892389646575342
132,Helsinki,60.16985569999999,24.9383791,5.366210035616438
133,Hong Kong,22.3193039,114.1693611,24.13835615068493
134,Honolulu,21.3069444,-157.8583333,24.954185698630138
