index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,26.134638756830608
1,Abilene,32.4487364,-99.73314390000002,15.224499054644808
2,Abu Dhabi,24.453884,54.3773438,27.671220379781417
3,Addis Ababa,8.9806034,38.7577605,13.30692168306011
4,Akron Canton,40.9153779,-81.4418833,8.917577393442622
5,Albany,42.6525793,-73.7562317,8.610655726775956
6,Albuquerque,35.0843859,-106.650422,12.561930765027322
7,Algiers,36.753768,3.0587561,17.023375830601093
8,Allentown,40.6022939,-75.4714098,9.818609587431693
9,Almaty,43.2220146,76.8512485,8.180935016393443
10,Amarillo,35.2219971,-101.8312969,12.590163953551913
11,Amman,31.9539494,35.910635,17.994535489071037
12,Amsterdam,52.3666969,4.8945398,8.582726172131148
13,Anchorage,61.2180556,-149.9002778,1.6856405491803275
14,Ankara,39.9333635,32.8597419,10.32058288251366
15,Antananarivo,-18.8791902,47.5079055,18.240892524590166
16,Ashabad,37.9600766,58.32606289999999,16.147085631147544
17,Asheville,35.5950581,-82.5514869,7.663023661202185
18,Athens,37.9838096,23.7275388,18.078476035519124
19,Atlanta,33.7489954,-84.3879824,16.814511213114752
20,Atlantic City,39.3642834,-74.4229266,11.515330926229508
21,Auckland,-36.8484597,174.7633315,15.25804493715847
22,Austin,30.267153,-97.7430608,15.428051008196721
23,Baltimore,39.2903848,-76.6121893,8.494383729508197
24,Bangkok,13.7563309,100.5017651,29.067850633879775
26,Banjul,13.4548761,-16.5790323,4.053885816939889
27,Barcelona,41.3850639,2.1734035,16.18108681693989
28,Baton Rouge,30.4514677,-91.18714659999999,10.495142674863388
29,Beijing,39.90419989999999,116.4073963,12.672586532786887
30,Beirut,33.8937913,35.5017767,20.744990855191254
31,Belfast,54.59728500000001,-5.93012,11.269277464480874
32,Belgrade,44.786568,20.4489216,10.997115975409836
33,Belize City,17.5045661,-88.1962133,26.556010923497265
34,Bern,46.9479739,7.4474468,8.945203409836067
35,Bilbao,43.2630126,-2.9349852,14.116271986338798
36,Billings,45.7832856,-108.5006904,0.5289920901639343
37,Birmingham,33.5185892,-86.8103567,16.557528827868854
40,Bogota,4.710988599999999,-74.072092,12.824074090163936
41,Boise,43.6150186,-116.2023137,8.399969644808744
42,Bombay (Mumbai),19.0759837,72.8776559,27.63615665300546
44,Bordeaux,44.837789,-0.57918,13.297207038251363
45,Boston,42.3600825,-71.0588801,8.731936830601093
46,Brasilia,-15.826691,-47.92182039999999,21.70871280874317
47,Bratislava,48.1485965,17.1077478,9.091530076502732
48,Brazzaville,-4.2633597,15.2428853,20.788706737704914
49,Bridgeport,41.1792258,-73.1894384,5.33181544535519
50,Bridgetown,45.5051064,-122.6750261,25.82650273770492
51,Brisbane,-27.4697707,153.0251235,19.829538549180327
52,Brownsville,25.9017472,-97.4974838,22.428506401639346
53,Brussels,50.8503396,4.3517103,8.995446297814208
54,Bucharest,44.4267674,26.1025384,10.242106841530054
