index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,26.135920846575342
1,Abilene,32.4487364,-99.73314390000002,18.5133942
2,Abu Dhabi,24.453884,54.3773438,27.29939115342466
3,Addis Ababa,8.9806034,38.7577605,12.846727556164383
4,Akron Canton,40.9153779,-81.4418833,11.399086783561643
5,Albany,42.6525793,-73.7562317,9.866362254794522
6,Albuquerque,35.0843859,-106.650422,14.092389627397258
7,Algiers,36.753768,3.0587561,16.831659030136986
8,Allentown,40.6022939,-75.4714098,12.46423136712329
9,Almaty,43.2220146,76.8512485,10.344444421917808
10,Amarillo,35.2219971,-101.8312969,14.113089805479452
11,Amman,31.9539494,35.910635,16.947488575342465
12,Amsterdam,52.3666969,4.8945398,9.98995431780822
13,Anchorage,61.2180556,-149.9002778,6.008675797260274
14,Ankara,39.9333635,32.8597419,10.18295281369863
15,Antananarivo,-18.8791902,47.5079055,18.03698631780822
16,Ashabad,37.9600766,58.32606289999999,16.941552506849316
17,Asheville,35.5950581,-82.5514869,14.594672778082192
18,Atlanta,33.7489954,-84.3879824,18.649467290410957
19,Atlantic City,39.3642834,-74.4229266,13.67275493150685
20,Auckland,-36.8484597,174.7633315,14.410958893150687
21,Austin,30.267153,-97.7430608,20.437595115068493
22,Baltimore,39.2903848,-76.6121893,14.42267884931507
23,Bangui,4.3946735,18.5581899,17.140334830136986
24,Banjul,13.4548761,-16.5790323,24.08767124931507
25,Barcelona,41.3850639,2.1734035,15.399543356164385
26,Beijing,39.90419989999999,116.4073963,12.190867583561646
27,Beirut,33.8937913,35.5017767,19.922070038356164
28,Belfast,54.59728500000001,-5.93012,8.906544898630138
29,Belgrade,44.786568,20.4489216,12.45068491780822
30,Belize City,17.5045661,-88.1962133,26.027092852054796
31,Bern,46.9479739,7.4474468,8.736073046575344
32,Bilbao,43.2630126,-2.9349852,13.906849336986303
33,Billings,45.7832856,-108.5006904,7.791780843835617
34,Birmingham,33.5185892,-86.8103567,18.62496195616438
35,Bishkek,42.8746212,74.5697617,11.530593589041095
36,Bismarck,46.8083268,-100.7837392,4.829071550684931
37,Bissau,11.8632196,-15.5843227,25.294216076712328
38,Bogota,4.710988599999999,-74.072092,12.826483989041094
39,Boise,43.6150186,-116.2023137,11.52526635890411
40,Bombay (Mumbai),19.0759837,72.8776559,26.591628610958907
41,Bordeaux,44.837789,-0.57918,13.326179602739726
42,Boston,42.3600825,-71.0588801,11.739878230136988
43,Brasilia,-15.826691,-47.92182039999999,21.853881263013697
44,Bratislava,48.1485965,17.1077478,10.963774715068494
45,Brazzaville,-4.2633597,15.2428853,24.53515980821918
46,Bridgeport,41.1792258,-73.1894384,11.940487057534249
47,Brisbane,-27.4697707,153.0251235,19.445205473972603
48,Brownsville,25.9017472,-97.4974838,24.16103502739726
49,Brussels,50.8503396,4.3517103,10.007458153424658
50,Bucharest,44.4267674,26.1025384,11.691019797260273
51,Budapest,47.497912,19.040235,10.844140041095889
52,Buenos Aires,-34.6036844,-58.3815591,15.781735131506851
53,Buffalo,42.88644679999999,-78.8783689,8.977016747945205
54,Burlington,36.0624198,-95.88890219999999,8.15342465479452
55,Cairo,30.0444196,31.2357116,21.662709243835618
56,Calcutta,22.572646,88.36389500000001,24.56179603561644
57,Canberra,-35.2809368,149.1300092,12.923592084931506
58,Capetown,-33.9248685,18.4240553,15.777625583561646
59,Caracas,10.4805937,-66.90360629999999,21.665753419178085
60,Caribou,36.1910923,-95.88973539999999,4.469406380821917
61,Casper,39.04117859999999,-94.5911521,6.366057843835616
62,Charleston,32.7764749,-79.93105120000001,15.751548199399243
63,Charlotte,35.2270869,-80.8431267,17.556773189041095
64,Chattanooga,35.0456297,-85.3096801,17.5012176630137
65,Chengdu,30.572815,104.066801,16.58264840273973
66,Chennai (Madras),13.0826802,80.2707184,28.624961950684927
67,Cheyenne,41.1399814,-104.8202462,7.5861492109589035
68,Chicago,41.8781136,-87.6297982,9.83318111780822
69,Cincinnati,39.1031182,-84.5120196,13.291628605479454
70,Cleveland,41.49932,-81.6943605,11.54885842739726
71,Colombo,6.9270786,79.861243,26.039573843835615
72,Colorado Springs,38.8338816,-104.8213634,9.702891936986301
73,Columbia,34.0007104,-81.0348144,18.747184183561643
74,Columbus,39.9611755,-82.99879419999999,11.936858024264778
75,Conakry,9.641185499999999,-13.5784012,16.89738920491803
76,Concord,37.9779776,-122.0310733,3.4369862849315074
77,Copenhagen,55.6760968,12.5683372,8.258295287671233
78,Corpus Christi,27.8005828,-97.39638099999999,22.705631673972604
79,Cotonou,6.3702928,2.3912362,26.349923901369866
80,Dakar,14.716677,-17.4676861,23.090563156164382
