index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,22.248249578082195
1,Abilene,32.4487364,-99.73314390000002,19.630289205479453
2,Abu Dhabi,24.453884,54.3773438,28.515068479452054
3,Addis Ababa,8.9806034,38.7577605,14.151293756164382
4,Akron Canton,40.9153779,-81.4418833,10.8063926630137
5,Albany,42.6525793,-73.7562317,10.134094380821919
6,Albuquerque,35.0843859,-106.650422,14.617199347945204
7,Algiers,36.753768,3.0587561,18.311567712328767
8,Allentown,40.6022939,-75.4714098,12.084474879452054
9,Almaty,43.2220146,76.8512485,9.15540335890411
10,Amarillo,35.2219971,-101.8312969,15.27290715890411
11,Amman,31.9539494,35.910635,17.664535761643837
12,Amsterdam,52.3666969,4.8945398,11.045662093150685
13,Anchorage,61.2180556,-149.9002778,2.7809741260273975
14,Ankara,39.9333635,32.8597419,9.81293761369863
15,Antananarivo,-18.8791902,47.5079055,19.25555556438356
16,Ashabad,37.9600766,58.32606289999999,17.13135463561644
17,Asheville,35.5950581,-82.5514869,13.793607326027397
18,Athens,37.9838096,23.7275388,19.01217655342466
19,Atlanta,33.7489954,-84.3879824,17.701522052054795
20,Atlantic City,39.3642834,-74.4229266,14.008066975342464
21,Auckland,-36.8484597,174.7633315,15.616133939726026
22,Austin,30.267153,-97.7430608,21.007458134246576
23,Baltimore,39.2903848,-76.6121893,14.229375942465754
24,Bangkok,13.7563309,100.5017651,27.548976615131586
25,Bangui,4.3946735,18.5581899,26.243987810958906
26,Banjul,13.4548761,-16.5790323,25.967732115068493
27,Barcelona,41.3850639,2.1734035,17.13044141643836
28,Beijing,39.90419989999999,116.4073963,12.65814306849315
29,Beirut,33.8937913,35.5017767,21.112785389041093
30,Belfast,54.59728500000001,-5.93012,10.589193320547947
31,Belgrade,44.786568,20.4489216,12.363013704109589
32,Belize City,17.5045661,-88.1962133,27.46240486575342
33,Bern,46.9479739,7.4474468,9.888127849315069
34,Bilbao,43.2630126,-2.9349852,15.591628632876711
35,Billings,45.7832856,-108.5006904,8.433333336986301
36,Birmingham,33.5185892,-86.8103567,17.878995441095892
37,Bishkek,42.8746212,74.5697617,11.346270915068493
38,Bismarck,46.8083268,-100.7837392,5.677321156164383
39,Bissau,11.8632196,-15.5843227,18.04672753150685
40,Bogota,4.710988599999999,-74.072092,13.779756471232878
41,Boise,43.6150186,-116.2023137,11.32648403287671
42,Bombay (Mumbai),19.0759837,72.8776559,27.935920879452055
43,Bordeaux,44.837789,-0.57918,14.639726019178084
44,Boston,42.3600825,-71.0588801,11.791019772602738
45,Brasilia,-15.826691,-47.92182039999999,21.576864580821923
46,Bratislava,48.1485965,17.1077478,11.105479443835616
47,Brazzaville,-4.2633597,15.2428853,25.48843224931507
48,Bridgeport,41.1792258,-73.1894384,12.308066964383562
49,Bridgetown,45.5051064,-122.6750261,27.436529676712325
50,Brisbane,-27.4697707,153.0251235,19.879756479452055
51,Brownsville,25.9017472,-97.4974838,23.972907134246576
52,Brussels,50.8503396,4.3517103,11.375342468493152
53,Bucharest,44.4267674,26.1025384,11.12800606849315
54,Budapest,47.497912,19.040235,10.853424671232876
55,Buenos Aires,-34.6036844,-58.3815591,17.352968021917807
56,Buffalo,42.88644679999999,-78.8783689,9.878995435616439
57,Burlington,36.0624198,-95.88890219999999,8.842770161643836
58,Cairo,30.0444196,31.2357116,22.144596646575344
59,Calcutta,22.572646,88.36389500000001,26.343226797260275
60,Calgary,51.04473309999999,-114.0718831,4.445053271232876
61,Canberra,-35.2809368,149.1300092,12.837747342465754
62,Capetown,-33.9248685,18.4240553,16.92709282739726
63,Caracas,10.4805937,-66.90360629999999,25.54520547671233
64,Caribou,36.1910923,-95.88973539999999,5.6068493260273975
65,Casper,39.04117859999999,-94.5911521,7.544901043835617
66,Charleston,32.7764749,-79.93105120000001,15.81295821132454
67,Charlotte,35.2270869,-80.8431267,16.72420090958904
68,Chattanooga,35.0456297,-85.3096801,16.63957381369863
69,Chengdu,30.572815,104.066801,17.22267881369863
70,Chennai (Madras),13.0826802,80.2707184,28.29847795068493
71,Cheyenne,41.1399814,-104.8202462,7.721613375342466
72,Chicago,41.8781136,-87.6297982,10.524505317808218
73,Cincinnati,39.1031182,-84.5120196,13.115981726027398
74,Cleveland,41.49932,-81.6943605,11.261035000000001
75,Colombo,6.9270786,79.861243,27.49132419726027
76,Colorado Springs,38.8338816,-104.8213634,10.381430723287671
77,Columbia,34.0007104,-81.0348144,18.698325728767124
78,Columbus,39.9611755,-82.99879419999999,11.967775638149869
79,Conakry,9.641185499999999,-13.5784012,8.752967980821918
80,Concord,37.9779776,-122.0310733,8.711415520547945
81,Copenhagen,55.6760968,12.5683372,8.745966498630136
82,Corpus Christi,27.8005828,-97.39638099999999,22.810350060273976
83,Cotonou,6.3702928,2.3912362,27.2111111260274
84,Dakar,14.716677,-17.4676861,24.75799088219178
85,Dallas Ft Worth,32.7766642,-96.79698789999999,20.336225301369865
86,Damascus,33.5138073,36.2765279,16.912328753424656
87,Dar Es Salaam,-6.792354,39.2083284,24.96164383013699
88,Dayton,39.7589478,-84.1916069,11.80730592328767
89,Delhi,28.7040592,77.10249019999999,23.324353106849316
90,Denver,39.7392358,-104.990251,10.340639273972604
91,Des Moines,41.5868353,-93.6249593,11.25327244109589
92,Detroit,42.331427,-83.0457538,10.659817334246576
93,Dhahran,26.2361248,50.0393017,26.728158298630138
94,Doha,25.2854473,51.53103979999999,28.51430745479452
95,Dubai,25.2048493,55.2707828,29.11841704931507
96,Dublin,53.3498053,-6.2603097,10.065905643835617
97,Duluth,46.78667189999999,-92.1004852,4.93348553150685
98,Dusanbe,38.5597722,68.7870384,15.945053273972603
99,Edmonton,53.5461245,-113.4938229,4.274277005479452
100,El Paso,31.7618778,-106.4850217,19.68051749589041
101,Elkins,36.0014682,-94.0082547,10.969558632876712
102,Erie,42.12922409999999,-80.085059,10.5302892
103,Eugene,44.0520691,-123.0867536,10.78051750958904
104,Evansville,37.9715592,-87.5710898,14.337138498630136
106,Fargo,46.8771863,-96.7898034,6.333181134246576
107,Flint,43.0125274,-83.6874562,9.697564687671234
108,Fort Smith,35.3859242,-94.39854749999999,17.826331819178083
109,Fort Wayne,41.079273,-85.1393513,10.93942164109589
111,Fresno,36.7377981,-119.7871247,17.382496213698634
112,Geneva,46.2043907,6.1431577,11.716133950684931
114,Goodland,29.673831,-95.5452176,10.529984761643835
115,Grand Junction,39.0638705,-108.5506486,11.241400309589038
116,Grand Rapids,42.9633599,-85.6680863,10.00882802739726
117,Great Falls,38.9987208,-77.2538699,7.104261802739726
118,Green Bay,44.5133188,-88.0132958,7.798477939726028
119,Greensboro,36.0726354,-79.7919754,15.738508399999997
120,Guadalajara,20.6596988,-103.3496092,9.336225232876712
121,Guangzhou,23.12911,113.264385,22.75296804109589
122,Guatemala City,14.6349149,-90.5068824,19.167275482191783
123,Guayaquil,-2.1894128,-79.8890662,25.824505320547946
124,Halifax,44.6475811,-63.5727683,7.070471830136986
126,Hanoi,21.0277644,105.8341598,23.104109597260276
127,Hartford Springfield,41.9413995,-72.6996932,11.0047184
128,Havana,23.1135925,-82.3665956,24.078995419178078
129,Helena,46.5891452,-112.0391057,7.094824958904109
130,Helsinki,60.16985569999999,24.9383791,6.784322679452055
131,Hong Kong,22.3193039,114.1693611,23.72800607671233
132,Honolulu,21.3069444,-157.8583333,25.34824961643836
133,Houston,29.7604267,-95.3698028,21.817199369863015
134,Huntsville,34.7303688,-86.5861037,16.674429208219177
135,Indianapolis,39.768403,-86.158068,12.78736681369863
136,Islamabad,33.6844202,73.04788479999999,22.26651445479452
137,Istanbul,41.0082376,28.9783589,14.918569235616442
138,Jackson,32.2987573,-90.1848103,18.59406391780822
139,Jacksonville,30.3321838,-81.65565099999999,20.148401824657533
140,Jakarta,-6.2087634,106.845599,28.368036517808218
141,Juneau,58.3019444,-134.4197221,4.934550997260274
142,Kampala,0.3475964,32.5825197,17.971232879452057
143,Kansas City,39.0997265,-94.5785667,12.748097408219179
144,Karachi,24.8607343,67.0011364,26.377016758904112
145,Katmandu,27.7172453,85.3239605,18.969862991780822
146,Kiev,50.4501,30.5234,9.120547939726029
147,Knoxville,35.9606384,-83.9207392,15.875951263013699
148,Kuala Lumpur,3.139003,101.686855,28.370776238356164
149,Kuwait,29.31166,47.481766,26.266057797260274
150,La Paz,-16.489689,-68.11929359999999,7.2482496191780825
151,Lagos,6.5243793,3.3792057,26.744901043835615
152,Lake Charles,30.2265949,-93.2173758,20.666666665753425
153,Lansing,42.732535,-84.5555347,9.399238961643835
154,Las Vegas,36.1699412,-115.1398296,20.523744301369863
155,Lexington,38.0405837,-84.5037164,13.421461186301372
156,Libreville,0.4161976,9.4672676,26.302891928767128
157,Lilongwe,-13.9626121,33.7741195,10.67853877808219
158,Lima,-12.0463731,-77.042754,19.431811273972603
159,Lincoln,40.813616,-96.7025955,10.822983263013697
160,Lisbon,38.7222524,-9.1393366,17.16027396164384
161,Little Rock,34.7464809,-92.28959479999999,17.606088276712327
162,Lome,6.1256261,1.2254183,25.36103498356164
163,London,51.5073509,-0.1277583,12.013546410958904
164,Los Angeles,34.0522342,-118.2436849,16.29528158630137
165,Louisville,38.2526647,-85.7584557,15.171080679452055
166,Lubbock,33.5778631,-101.8551665,17.08599697260274
167,Lusaka,-15.3875259,28.3228165,16.92709282739726
168,Macon,32.8406946,-83.6324022,18.204261794520544
169,Madison,43.0730517,-89.4012302,9.061948265753426
170,Madrid,40.4167754,-3.7037902,15.609589032876709
171,Managua,12.1149926,-86.2361744,27.054642295890417
172,Manama,26.2235305,50.5875935,27.17777777534247
173,Manila,14.5995124,120.9842195,27.682952819178084
175,Medford,42.3265152,-122.8755949,11.910197871232878
176,Melbourne,-37.8136276,144.9630576,18.3091324
177,Memphis,35.1495343,-90.0489801,17.791628619178084
178,Mexico City,19.4326077,-99.133208,17.52161338630137
179,Miami Beach,25.790654,-80.1300455,25.357382046575342
