index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,7.2404870246575355
1,Abilene,32.4487364,-99.73314390000002,16.303348556164387
2,Abu Dhabi,24.453884,54.3773438,27.150228312328764
4,Akron Canton,40.9153779,-81.4418833,9.326788432876711
5,Albany,42.6525793,-73.7562317,8.684779279452055
6,Albuquerque,35.0843859,-106.650422,13.459208534246574
7,Algiers,36.753768,3.0587561,16.859817334246575
8,Allentown,40.6022939,-75.4714098,10.459360723287672
9,Almaty,43.2220146,76.8512485,9.21035005479452
10,Amarillo,35.2219971,-101.8312969,12.728767126027396
11,Amman,31.9539494,35.910635,16.75707762739726
12,Amsterdam,52.3666969,4.8945398,9.973211556164383
13,Anchorage,61.2180556,-149.9002778,3.165296802739726
14,Ankara,39.9333635,32.8597419,9.075951301369864
15,Antananarivo,-18.8791902,47.5079055,17.84596649041096
16,Ashabad,37.9600766,58.32606289999999,16.39634703287671
17,Asheville,35.5950581,-82.5514869,12.4873668
18,Athens,37.9838096,23.7275388,17.442161326027396
19,Atlanta,33.7489954,-84.3879824,15.872907142465754
20,Atlantic City,39.3642834,-74.4229266,11.732876698630138
21,Auckland,-36.8484597,174.7633315,11.908523580821917
22,Austin,30.267153,-97.7430608,18.37564685479452
23,Baltimore,39.2903848,-76.6121893,12.537595153424657
24,Bangkok,13.7563309,100.5017651,28.17534246027397
25,Bangui,4.3946735,18.5581899,22.93272449589041
26,Banjul,13.4548761,-16.5790323,15.028614898630135
27,Barcelona,41.3850639,2.1734035,14.468949772602738
28,Baton Rouge,30.4514677,-91.18714659999999,18.399999978082196
29,Beijing,39.90419989999999,116.4073963,11.925875175342465
30,Beirut,33.8937913,35.5017767,20.235768641095888
31,Belfast,54.59728500000001,-5.93012,9.044444449315069
32,Belgrade,44.786568,20.4489216,11.977777780821919
33,Belize City,17.5045661,-88.1962133,26.0519025890411
34,Bern,46.9479739,7.4474468,8.880060893150684
35,Bilbao,43.2630126,-2.9349852,15.03439876712329
