index,City,Latitude,Longitude,Temperature
0,Abidjan,5.3599517,-4.0082563,24.875646879452056
1,Abilene,32.4487364,-99.73314390000002,16.8753424739726
2,Abu Dhabi,24.453884,54.3773438,27.69056319726028
3,Addis Ababa,8.9806034,38.7577605,3.459208498630137
4,Akron Canton,40.9153779,-81.4418833,10.187062391780822
5,Albany,42.6525793,-73.7562317,9.098934512328768
6,Albuquerque,35.0843859,-106.650422,13.852511416438356
7,Algiers,36.753768,3.0587561,17.314916301369863
8,Allentown,40.6022939,-75.4714098,11.159969589041095
9,Almaty,43.2220146,76.8512485,9.387975632876714
10,Amarillo,35.2219971,-101.8312969,13.710350079452056
11,Amman,31.9539494,35.910635,17.884627095890412
12,Amsterdam,52.3666969,4.8945398,11.213394210958905
13,Anchorage,61.2180556,-149.9002778,2.598325709589041
14,Ankara,39.9333635,32.8597419,11.264687991780823
15,Antananarivo,-18.8791902,47.5079055,17.887823435616436
16,Ashabad,37.9600766,58.32606289999999,17.132420073972604
17,Asheville,35.5950581,-82.5514869,13.300913230136986
18,Athens,37.9838096,23.7275388,17.755707775342465
19,Atlanta,33.7489954,-84.3879824,17.55144597808219
20,Atlantic City,39.3642834,-74.4229266,12.953272446575344
21,Auckland,-36.8484597,174.7633315,15.163013693150683
22,Austin,30.267153,-97.7430608,18.869863008219177
23,Baltimore,39.2903848,-76.6121893,13.465601232876715
24,Bangkok,13.7563309,100.5017651,28.741400304109586
25,Bangui,4.3946735,18.5581899,22.924657536986302
26,Banjul,13.4548761,-16.5790323,14.765786243169401
27,Barcelona,41.3850639,2.1734035,15.86453574520548
28,Baton Rouge,30.4514677,-91.18714659999999,19.82024351780822
29,Beijing,39.90419989999999,116.4073963,13.513546416438356
30,Beirut,33.8937913,35.5017767,20.978082169863015
31,Belfast,54.59728500000001,-5.93012,9.664687975342467
32,Belgrade,44.786568,20.4489216,12.812480972602739
33,Belize City,17.5045661,-88.1962133,18.56818870958904
34,Bern,46.9479739,7.4474468,10.493455093150686
35,Bilbao,43.2630126,-2.9349852,14.099238950684933
36,Billings,45.7832856,-108.5006904,9.295281589041096
37,Birmingham,33.5185892,-86.8103567,18.195433783561644
38,Bishkek,42.8746212,74.5697617,11.484627090410957
39,Bismarck,46.8083268,-100.7837392,6.4691019671232874
40,Bissau,11.8632196,-15.5843227,13.284322621917807
41,Bogota,4.710988599999999,-74.072092,12.593150684931507
42,Boise,43.6150186,-116.2023137,12.115677328767125
43,Bombay (Mumbai),19.0759837,72.8776559,27.48234400547945
44,Bordeaux,44.837789,-0.57918,13.244596660273974
45,Boston,42.3600825,-71.0588801,10.623439873972604
46,Brasilia,-15.826691,-47.92182039999999,21.094063920547946
47,Bratislava,48.1485965,17.1077478,11.70152205479452
48,Brazzaville,-4.2633597,15.2428853,25.163622512328764
49,Bridgeport,41.1792258,-73.1894384,10.494824961643836
50,Bridgetown,45.5051064,-122.6750261,25.894520517808218
51,Brisbane,-27.4697707,153.0251235,20.264383578082192
52,Brownsville,25.9017472,-97.4974838,22.78477929315069
53,Brussels,50.8503396,4.3517103,10.961643819178082
54,Bucharest,44.4267674,26.1025384,12.390410939726026
55,Budapest,47.497912,19.040235,11.593911728767123
56,Buenos Aires,-34.6036844,-58.3815591,16.04566210136986
57,Buffalo,42.88644679999999,-78.8783689,9.44581431780822
59,Burlington,36.0624198,-95.88890219999999,7.40563165479452
60,Cairo,30.0444196,31.2357116,22.40487062191781
61,Calcutta,22.572646,88.36389500000001,25.22541855890411
62,Calgary,51.04473309999999,-114.0718831,4.725266375342466
63,Canberra,-35.2809368,149.1300092,14.059969567123288
64,Capetown,-33.9248685,18.4240553,16.486605783561643
65,Caracas,10.4805937,-66.90360629999999,27.35433790958904
66,Caribou,36.1910923,-95.88973539999999,3.8767123205479455
67,Casper,39.04117859999999,-94.5911521,8.16012179178082
68,Charleston,32.7764749,-79.93105120000001,15.838311087540779
69,Charlotte,35.2270869,-80.8431267,16.684779312328764
70,Chattanooga,35.0456297,-85.3096801,16.95601217260274
71,Chengdu,30.572815,104.066801,17.80106544383562
72,Chennai (Madras),13.0826802,80.2707184,27.49512937260274
73,Cheyenne,41.1399814,-104.8202462,8.210350071232876
74,Chicago,41.8781136,-87.6297982,10.443683408219178
75,Cincinnati,39.1031182,-84.5120196,13.356925402739725
76,Cleveland,41.49932,-81.6943605,10.603196342465754
77,Colombo,6.9270786,79.861243,27.18340943561644
78,Colorado Springs,38.8338816,-104.8213634,9.377016742465752
79,Columbia,34.0007104,-81.0348144,18.142770175342466
80,Columbus,39.9611755,-82.99879419999999,11.981638362859833
81,Conakry,9.641185499999999,-13.5784012,8.907305882191782
82,Concord,37.9779776,-122.0310733,7.995281591780821
83,Copenhagen,55.6760968,12.5683372,8.993759509589042
84,Corpus Christi,27.8005828,-97.39638099999999,21.560426175342464
85,Cotonou,6.3702928,2.3912362,26.799847791780824
86,Dakar,14.716677,-17.4676861,24.32709285205479
